id,game,company_id,company_name,date,status,win,escapeTime,city,region,country,lat,lng,companyUrl,blogUrl,mortyId,tags,players,notes,photoUrl
37,Alice’s White Rabbit Rescue,45,Twisted Room Escapes,2021-10-22,completed,true,56m 40s,Indianapolis,Indiana,US,39.7684,-86.1581,https://www.twistedroomescapes.com/index.php/escape-rooms/alice,https://www.thingelstad.com/2021/10/22/we-completed-alices.html,1725,,,,/images/rooms/37.jpg
38,Robot Rampage,44,Trapped Puzzle Rooms,2022-01-04,completed,true,59m 36s,St. Paul,Minnesota,US,44.9537,-93.09,https://www.trappedpuzzlerooms.com/,https://www.thingelstad.com/2022/01/03/we-just-barely.html,13380,,,,/images/rooms/38.jpg
39,Video Game Mayhem,44,Trapped Puzzle Rooms,2022-02-12,completed,true,56m 59s,St. Paul,Minnesota,US,44.9537,-93.09,https://www.trappedpuzzlerooms.com/,https://www.thingelstad.com/2022/02/12/we-escaped-video.html,10174,,,Not setup for kids? Says 2019 was setup for kids.,/images/rooms/39.jpg
40,Grandpa’s Workshop,27,Itasca Historical Society,2022-02-26,completed,false,,Grand Rapids,Minnesota,US,47.2372,-93.5302,https://www.grescaperooms.com/,,,,,Keatings,
41,Timeliner: Train Through Time,41,The Escape Game,2022-03-21,completed,false,,Nashville,Tennessee,US,36.1627,-86.7816,https://theescapegame.com/nashville/escape-rooms/timeliner/,https://www.thingelstad.com/2022/03/21/escape-game-timeliner.html,13067,,,,
42,Pursuit of Steam,7,Cryptex Branson Escape Rooms,2022-06-06,completed,false,,Branson,Missouri,US,36.6437,-93.2185,,,4129,,"Tammy, Tyler",Golden Birthday Trip,
43,Journey Through Elek’s Hollow,15,Escape Code,2022-06-06,completed,false,,Branson,Missouri,US,36.6437,-93.2185,,,7106,,"Tammy, Tyler",Golden Birthday Trip,
44,The Mafia,39,Reykjavik Escape,2022-08-06,completed,true,38m 44s,Reykjavik,,IS,64.1466,-21.9426,https://www.reykjavikescape.is/en/,https://www.thingelstad.com/2022/08/06/we-escaped-from.html,26343,,,,/images/rooms/44.jpg
45,Cuckoo’s Clock,32,Missing Pieces Escape Games,2022-12-20,completed,true,46m 24s,Edina,Minnesota,US,44.862888,-93.356817,https://www.missingpiecesmn.com/,https://www.thingelstad.com/2022/12/20/we-got-together.html,1469,,,With the Thiegs,/images/rooms/45.jpg
46,Diamond Dilemma,32,Missing Pieces Escape Games,2023-01-06,completed,true,42m 46s,Edina,Minnesota,US,44.862888,-93.356817,https://www.missingpiecesmn.com/,https://www.thingelstad.com/2023/01/06/we-escaped-the.html,4592,,,,/images/rooms/46.jpg
47,Countdown,33,Mission Manor,2023-02-12,completed,true,45m 55s,Minneapolis,Minnesota,US,44.9778,-93.265,https://www.missionmanor.com/,https://www.thingelstad.com/2023/02/12/countdown-at-mission.html,9136,,,"Thought it was first no clues. 2,240 points.",/images/rooms/47.jpg
48,Sugar Rush,23,Exit Escape Room NYC,2023-03-19,completed,true,56m 57s,New York,New York,US,40.7128,-74.006,https://www.exitescaperoomnyc.com/sugar_rush.html,https://www.thingelstad.com/2023/03/19/tyler-and-i.html,7613,,"Jamie, Tyler",,/images/rooms/48.jpg
49,Playground,41,The Escape Game,2023-04-30,completed,true,59m 0s,New York,New York,US,40.7128,-74.006,https://theescapegame.com/newyorkcity/escape-rooms/playground/,https://www.thingelstad.com/2023/04/30/we-successfully-escaped.html,6027,,,Bono trip!,/images/rooms/49.jpg
50,Mad Tea Party,46,Zero Hour Escape Rooms,2023-06-14,completed,false,,Minneapolis,Minnesota,US,44.9778,-93.265,https://minneapolis.zerohourescaperooms.com/,https://www.thingelstad.com/2023/06/14/mazie-turns.html,4896,,,,/images/rooms/50.jpg
51,Birth Machine,30,Mad Machines,2023-07-22,completed,true,,Milan,,IT,45.443494,9.155411,https://madmachines.it/,https://www.thingelstad.com/2023/07/22/we-completed-the.html,24742,,,4th ranked room in world!,/images/rooms/51.jpg
52,Time Machine,30,Mad Machines,2023-07-23,completed,true,,Milan,,IT,45.443494,9.155411,https://madmachines.it/,https://www.thingelstad.com/2023/07/23/we-went-back.html,24741,,,39th in the world,/images/rooms/52.jpg
53,The Zeros,15,Escape Code,2023-10-21,completed,true,59m 59s,Branson,Missouri,US,36.6437,-93.2185,https://www.escapecode.tv/,https://www.thingelstad.com/2023/10/21/we-successfully-finished.html,7108,,"Jamie, Tammy, Tyler",,/images/rooms/53.jpg
54,Bigfoot’s Backyard Escape,27,Itasca Historical Society,2023-11-18,completed,true,,Grand Rapids,Minnesota,US,47.2372,-93.5302,https://www.grescaperooms.com/,https://www.thingelstad.com/2023/11/18/we-successfully-solved.html,,,,Keatings,/images/rooms/54.jpg
55,Invasion,1,60 to Escape,2024-03-26,completed,true,54m 23s,Milwaukee,Wisconsin,US,42.949241,-88.004283,https://www.62escape.com/wisconsin,https://www.thingelstad.com/2024/03/26/we-had-a.html,6778,,,,/images/rooms/55.jpg
56,Utopia,29,Lock & Key Escape Rooms,2024-04-27,completed,false,,Minneapolis,Minnesota,US,44.881233,-93.324289,https://lockandkeyescape.com/,https://www.thingelstad.com/2024/04/27/we-attempted-to.html,29629,,"Jamie, Tammy, Tyler",,/images/rooms/56.jpg
57,Titanic: The Final Hour,43,Timescape,2024-06-12,completed,true,51m 28s,Belfast,Northern Ireland,GB,54.602626,-5.930794,https://timescapegames.com/room/titanic/,https://www.thingelstad.com/2024/06/12/we-solved-the.html,15970,,,,/images/rooms/57.jpg
58,Mystery Manor,1,60 to Escape,2024-10-18,completed,true,47m 30s,Gurnee,Illinois,US,42.391372,-87.958342,https://www.62escape.com/,https://www.thingelstad.com/2024/10/18/after-our-flight.html,4029,,"Jamie, Tammy, Tyler",,/images/rooms/58.jpg
59,Cosmic Crisis,41,The Escape Game,2024-12-22,completed,true,,Bloomington,Minnesota,US,44.855442,-93.240047,https://theescapegame.com/minneapolis/,https://www.thingelstad.com/2024/12/22/we-completed-the-cosmic-crisis.html,49507,,,,/images/rooms/59.jpg
60,Granny’s Recipe Rescue,6,Copper Cat Escape,2025-01-18,completed,true,48m 18s,Brainerd,Minnesota,US,46.355982,-94.200255,https://www.coppercatescape.com/,https://www.thingelstad.com/2025/01/18/we-had-a-great-time.html,32786,,"Jamie, Tammy, Tyler",,/images/rooms/60.jpg
61,Deep Woods Cabin,6,Copper Cat Escape,2025-01-19,completed,true,46m 52s,Brainerd,Minnesota,US,46.355982,-94.200255,https://www.coppercatescape.com/,https://www.thingelstad.com/2025/01/19/deep-woods-cabin-escape-room.html,32785,best,"Jamie, Tammy, Tyler",,/images/rooms/61.jpg
62,The Museum,37,Puzzleworks,2025-01-20,completed,true,58m 48s,St. Paul,Minnesota,US,44.96485,-93.183348,https://www.puzzleworksmn.com/,https://www.thingelstad.com/2025/01/20/we-completed-the-museum-at.html,34674,,"Jamie, Tammy, Tyler, Levi",,/images/rooms/62.jpg
63,Sherwood Forest,35,No Esc Puzzle Collective,2025-02-01,completed,true,59m 36s,Shakopee,Minnesota,US,44.784431,-93.554246,https://no-esc.com/,https://www.thingelstad.com/2025/02/01/tammy-and-i-rescued-robin.html,40808,,"Jamie, Tammy",,/images/rooms/63.jpg
64,The Istanbul Gambit,10,Enigma Adventures,2025-02-15,completed,true,58m 21s,Bloomington,Minnesota,US,44.850893,-93.236632,https://enigmaadventures.com/,https://www.thingelstad.com/2025/02/15/instanbul-gambit-at-enigma-adventure.html,328,,"Jamie, Tammy, Tyler",,/images/rooms/64.jpg
65,The Hospital,37,Puzzleworks,2025-03-15,completed,true,54m 47s,St. Pual,Minnesota,US,44.96485,-93.183348,https://www.puzzleworksmn.com/,https://www.thingelstad.com/2025/03/15/the-hospital-at-puzzleworks.html,1567,,"Jamie, Tammy, Tyler",,/images/rooms/65.jpg
66,Crazy Train,9,Doldrick’s Escape Room,2025-04-05,completed,true,63m 25s,Orlando,Florida,US,28.335013,-81.478393,https://www.doldricksescaperoom.com/,https://www.thingelstad.com/2025/04/04/crazy-train-escape-room.html,10115,,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/66.jpg
67,The Dungeon,37,Puzzleworks,2025-04-26,completed,true,59m 34s,St. Paul,Minnesota,US,44.96485,-93.183348,https://www.puzzleworksmn.com/,https://www.thingelstad.com/2025/04/26/we-had-a-great-time.html,13681,,,,/images/rooms/67.jpg
68,The Anomaly,37,Puzzleworks,2025-04-27,completed,true,,St. Paul,Minnesota,US,44.96485,-93.183348,https://www.puzzleworksmn.com/,https://www.thingelstad.com/2025/04/27/the-anomaly-at-puzzleworks.html,13681,,"Jamie, Tammy, Tyler, Nora, Quinn",,/images/rooms/68.jpg
69,Pirates of the Spanish Main,10,Enigma Adventures,2025-05-11,completed,false,61m 30s,Maple Grove,Minnesota,US,45.10157,-93.45427,https://enigmaadventures.com/,https://www.thingelstad.com/2025/05/11/pirates-of-the-spanish-main.html,13264,best,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/69.jpg
70,Mindmaster Industries,14,Escape City,2025-06-06,completed,true,60m 9s,Calgary,Alberta,CA,51.012594,-114.065152,https://escapecity.ca/,https://www.thingelstad.com/2025/06/06/we-found-escape-city-in.html,50553,,"Jamie, Tammy",,/images/rooms/70.jpg
71,Caper in the Escape Room,40,Solve Escape Rooms,2025-06-18,completed,false,,Waukesha,Wisconsin,US,43.018706,-88.200118,https://solveescaperooms.com/,,13476,,"Tammy, Tyler",,
72,14 Floors Below,40,Solve Escape Rooms,2025-06-18,completed,true,,Waukesha,Wisconsin,US,43.018706,-88.200118,https://solveescaperooms.com/,,13477,,"Tammy, Tyler",,
73,Gold Rush,17,Escape in Time,2025-07-18,completed,true,46m 45s,Madison,Wisconsin,US,43.057218,-89.494541,https://www.escapeintimemadison.com/rooms,https://www.thingelstad.com/2025/07/18/gold-rush-at-escape-in.html,13395,,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/73.jpg
74,The Dreamwalkers,4,Cabinet Mysteriis,2025-07-28,completed,false,,Quebec City,Quebec,CA,46.792333,-71.258633,https://cabinetmysteriis.ca/en/,https://www.thingelstad.com/2025/07/28/the-dreamwalkers-at-cabinet-mysteriis.html,10196,best,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/74.jpg
75,2002: The Bovine Odyssey,4,Cabinet Mysteriis,2025-07-28,completed,true,54m 0s,Quebec City,Quebec,CA,46.792333,-71.258633,https://cabinetmysteriis.ca/en/,https://www.thingelstad.com/2025/07/28/a-bovine-odyssey-at-cabinet.html,10197,,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/75.jpg
76,Screaming Metal,4,Cabinet Mysteriis,2025-07-29,completed,true,,Quebec City,Quebec,CA,46.792333,-71.258633,https://cabinetmysteriis.ca/en/,https://www.thingelstad.com/2025/07/29/screaming-metal-at-cabinet-mysteriis.html,10195,,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/76.jpg
77,Lost Island of the Voodoo Queen,12,Escaparium,2025-07-30,completed,true,,Montreal,Quebec,CA,45.585974,-73.768325,https://www.escaparium.ca/montreal-jeu-evasion/,https://www.thingelstad.com/2025/07/30/lost-island-of-the-voodoo.html,9469,best,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/77.jpg
78,Wardrobe for sale,12,Escaparium,2025-07-30,completed,true,,Montreal,Quebec,CA,45.585974,-73.768325,https://www.escaparium.ca/montreal-jeu-evasion/,https://www.thingelstad.com/2025/07/30/wardrobe-for-sale-at-escaparium.html,9589,best,,Tammy & Tyler favorite of 2025,/images/rooms/78.jpg
79,Magnifico,12,Escaparium,2025-08-02,completed,true,,Montreal,Quebec,CA,45.585974,-73.768325,https://www.escaparium.ca/montreal-jeu-evasion/,https://www.thingelstad.com/2025/08/02/magnifico-at-escaparium.html,51489,best,,Jamie & Mazie favorite of 2025,/images/rooms/79.jpg
80,The Experiment,19,Escape Room Alexandria,2025-08-07,completed,true,53m 14s,Alexandria,Minnesota,US,45.883783,-95.376734,https://www.escapealexandria.com,https://www.thingelstad.com/2025/08/07/the-experiment-at-escape-room.html,13286,,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/80.jpg
81,Time Machine,36,Puzzled Escape Rooms,2025-08-08,completed,true,53m 11s,Fargo,North Dakota,US,46.830879,-96.801401,https://puzzledescaperooms.com/,https://www.thingelstad.com/2025/08/08/time-machine-at-puzzled-escape.html,6168,,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/81.jpg
82,Gemini Quantum Quest,3,Breakout ND,2025-08-09,completed,true,48m 45s,Bismarck,North Dakota,US,46.832906,-100.774248,https://www.breakoutnd.com/,https://www.thingelstad.com/2025/08/09/gemini-quantum-quest-breakout-nd.html,54990,,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/82.jpg
83,Ruins: Forbidden Treasure,41,The Escape Game,2025-12-22,completed,true,55m 12s,Nashville,Tennessee,US,36.1627,-86.7816,https://theescapegame.com/nashville/escape-rooms/ruins/,https://www.thingelstad.com/2025/12/22/we-completed-the-ruins-forbidden.html,,,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/83.jpg
84,Yeti Escape Room,41,The Escape Game,2025-12-22,completed,true,57m 34s,Nashville,Tennessee,US,36.1627,-86.7816,https://theescapegame.com/nashville/escape-rooms/legend-of-the-yeti/,https://www.thingelstad.com/2025/12/22/legend-of-the-yeti-escape.html,,,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/84.jpg
85,Loose Sleuth,37,Puzzleworks,2026-01-03,completed,true,49m 5s,Minneapolis,Minnesota,US,44.9778,-93.265,https://www.puzzle.works/,https://www.thingelstad.com/2026/01/03/we-had-a-great-time.html,13321,,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/85.jpg
86,Scooby-Doo™ and the Spooky Castle Adventure,22,Escapology,2026-01-10,completed,true,39m 46s,Burnsville,Minnesota,US,44.7677,-93.2777,https://www.escapology.com/,https://www.thingelstad.com/2026/01/10/we-had-a-great-time.html,9603,,"Jamie, Tammy, Mazie, Tyler",,/images/rooms/86.jpg
